date,product_name,url,old_price,new_price,change_amount,change_percent
2026-06-26,TruckTok GM AFM/DFM Disabler Device RA003 | V6 & V8 Engine Cylinder Manager,https://www.trucktok.com/products/gm-motors-v6-v8-engine-active-fuel-management-afm-dfm-disabler-device-ra003,99.99,85.99,-14.00,-14.00%
2026-06-26,TruckTok GM V6/V8 AFM/DFM Active Fuel Management Disabler Device,https://www.trucktok.com/products/gm-v6-v8-afm-dfm-active-fuel-management-disabler-device,99.99,85.99,-14.00,-14.00%
2026-06-26,TruckTok RA003 Plug-and-Play V8 AFM & DFM Disabler for GM Trucks,https://www.trucktok.com/products/ra003-plug-and-play-v8-afm-dfm-disabler-for-gm-trucks,99.99,85.99,-14.00,-14.00%
2026-09-16,Trucktok 2006-2021 6.7L Dodge Ram EZ LYNK TUNING FILE,https://www.trucktok.com/products/trucktok-2006-2021-6-7l-dodge-ram-ez-lynk-tuning-file,799.00,899.00,100.00,12.52%
2026-09-16,Trucktok 2008-2025 6.4L & 6.7L Ford Powerstroke EZ LYNK TUNING FILE,https://www.trucktok.com/products/trucktok-2008-2025-6-4l-6-7l-ford-powerstroke-ez-lynk-tuning-file,799.00,899.00,100.00,12.52%
2026-09-16,Trucktok 2011-2016 6.6L Chevy Duramax EZ LYNK TUNING FILE,https://www.trucktok.com/products/trucktok-2011-2016-6-6l-chevy-duramax-ez-lynk-tuning-file,799.00,899.00,100.00,12.52%
2026-09-16,Trucktok 2017-2023 6.6L Chevy Duramax HP Tuner TUNING FILE + 6 Credits,https://www.trucktok.com/products/trucktok-2017-2023-6-6l-chevy-duramax-hp-tuner-tuning-file-6-credits,1300.00,1400.00,100.00,7.69%
2026-09-16,Trucktok 2022-2024 6.7L Ram EZ LYNK TUNING FILE,https://www.trucktok.com/products/trucktok-2022-2024-6-7l-ram-ez-lynk-tuning-file,1500.00,1600.00,100.00,6.67%
2026-09-17,Trucktok EZ LYNK Autoagent 3.0 (Blank Device Only),https://www.trucktok.com/products/trucktok-ezlynk-autoagent-3-0-blank-device-only,749.00,799.00,50.00,6.68%
