date,product_name,url,price,stock_status
2026-06-24,TruckTok 2008-2010 6.4L Ford Powerstroke F250 F350 F450 EGR delete Turbo Diesel Kit,https://www.trucktok.com/products/6-4-egr-valve-delete-cooler-delete-kit-for-ford-f250-f350-f450-f550-6-4l-powerstroke-turbo-diesel-2008-2009-2010,41.99,in_stock
2026-06-24,TruckTok 2008-2010 6.4L Ford Powerstork Exhaust Up Pipes & EGR Delete Plates Bypass,https://www.trucktok.com/products/6-4-powerstork-egr-delete-plates-bypass-exhaust-up-pipes-for-2008-2009-2010-ford-6-4l-diesel-v8,252.99,in_stock
2026-06-24,TruckTok 2008-2010 6.4L Ford F250 F350 F450 F550 Powerstroke 4inch Cat & DPF Delete Pipe,https://www.trucktok.com/products/6-4-powerstroke-4-cat-dpf-delete-pipe-for-2008-2010-ford-6-4l-power-stroke-f250-f350-f450-f550,152.49,in_stock
2026-06-24,TruckTok 2007-2010 6.6L Chevy GMC  LMM Duramax EGR Valve Cooler Delete Kit Fit,https://www.trucktok.com/products/6-6-egr-valve-delete-cooler-delete-kit-for-chevy-silverado-gmc-sierra-2500-3500-hd-6-6l-duramax-lmm-2007-2008-2009-2010,61.99,in_stock
2026-06-24,TruckTok 2011-2023 6.7L Ford Powerstroke 4inch DPF & CAT Pipe w/EGR Delete Kit,https://www.trucktok.com/products/6-7-powerstroke-4-inch-dpf-cat-pipe-egr-delete-kit-for-11-17-ford-f250-350-6-7l-power-stroke,294.59,in_stock
2026-06-24,TruckTok 2009-2019 6.7L RAM Cummins Coolant Hose Barb Adapter Leaking Repair Kit,https://www.trucktok.com/products/6-7l-coolant-hose-kit-for-dodge-ram-cummins-2009-2019-cooler-bypass-adapter,35.99,in_stock
2026-06-24,TruckTok 1999-2003 7.3L Ford F250 F350 F450 F550 Powerstroke Diesel Fuel Pressure Regulator Valve Cap Blue Spring Kit,https://www.trucktok.com/products/7-3-fuel-pressure-regulator-valve-cap-blue-spring-kit-for-ford-f250-f350-f450-f550-7-3l-powerstroke-diesel-1999-2000-2001-2002-2003,27.99,in_stock
2026-06-24,TruckTok EGR Smog Exhaust Intake Block Off Plate Kit For Toyota 20R 22RE Generic,https://www.trucktok.com/products/block-off-plates-kit-aluminum-alloy-exhaust-intake-off-plate-kit-egr-smog-delete-fit-for-20r-22r-22re-22ret-engine,22.99,in_stock
2026-06-24,TruckTok 2003-2007 5.9L & 2007.5-2018 6.7L Dodge Ram Cummins Diesel Engines Coolant Bypass Kit,https://www.trucktok.com/products/coolant-bypass-kit-for-dodge-03-07-ram5-9l-cummins-diesel-manual,86.59,in_stock
2026-06-24,TruckTok 2003-2007 6.0L Ford F250 F350 Super Duty Excursion V8 Powerstroke Diesel Coolant Filtration Filter System Kit Fits,https://www.trucktok.com/products/coolant-filtration-filter-system-kit-fits-ford-f250-f350-f450-super-duty-excursion-v8-6-0l-6-0-powerstroke-diesel-2003-2004-2005-2006-2007,100.99,in_stock
